course,link
starter,https://hebbarskitchen.com/onion-pakoda-recipe-kanda-bhaji/
starter,https://www.archanaskitchen.com/tomato-pickle-thakkali-thokku
main,https://hebbarskitchen.com/onion-paratha-recipe-pyaz-ka-paratha/
soup,https://hebbarskitchen.com/tomato-onion-rasam/
starter,https://hebbarskitchen.com/spinach-corn-sandwich-recipe/
main,https://hebbarskitchen.com/baby-corn-masala-recipe-baby-corn-gravy/
starter,https://hebbarskitchen.com/paneer-popcorn-recipe-paneer-snacks/
main,https://hebbarskitchen.com/corn-curry-recipe-sweet-corn-sabzi/
soup,https://hebbarskitchen.com/tomato-shorba-recipe-tamatar-shorba/
main,https://www.archanaskitchen.com/spicy-tomato-rice-tomato-pulihora-recipe
main,https://www.archanaskitchen.com/tomato-kurma-recipe-thakkali-kurma-perfect-for-biryani-parotta
main,https://www.archanaskitchen.com/kadai-broccoli-masala-recipe-broccoli-cooked-with-indian-spices
main,https://www.archanaskitchen.com/stir-fried-potatoes-with-broccoli-recipe-aloo-broccoli-sabzi
main,https://www.archanaskitchen.com/broccoli-and-vegetable-curry-recipe
main,https://www.archanaskitchen.com/andhra-style-palak-kura-pappu-recipe-spinach-dal-recipe
main,https://www.archanaskitchen.com/dal-palak-recipe-spinach-and-lentil-curry
main,https://www.archanaskitchen.com/tamil-nadu-style-broccoli-poriyal-recipe-broccoli-stir-fry-recipe
main,https://www.indianhealthyrecipes.com/broccoli-curry-recipe-indian-broccoli-stir-fry/
main,https://www.sanjeevkapoor.com/recipe/Jeera-Broccoli.html
starter,https://food.ndtv.com/recipe-pyazi-kebabs-171634
main,https://www.sanjeevkapoor.com/recipe/Chilli-Mushroom-Fried-Rice.html
starter,https://hebbarskitchen.com/tomato-upma-recipe-tomato-rava-upma/
soup,https://hebbarskitchen.com/cream-tomato-soup-recipe-tomatoe-soup/
starter,https://hebbarskitchen.com/palak-chaat-recipe-palak-pakoda-chaat/
main,https://www.indianhealthyrecipes.com/broccoli-curry-recipe-indian-broccoli-stir-fry/
